State,abbrev,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
North Dakota,ND,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Ohio,OH,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Oklahoma,OK,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Oregon,OR,No Law,No Law,No Law,Statutory Ban,No Law,No Law,No Law,No Law,No Law,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Pennsylvania,PA,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal
Rhode Island,RI,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Legal,Legal,Legal
South Carolina,SC,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
South Dakota,SD,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Tennessee,TN,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Texas,TX,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal
Utah,UT,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Vermont,VT,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,No Law,Legal,Legal,Legal,Legal,Legal,Legal,Legal
Virginia,VA,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Washington,WA,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal,Legal
West Virginia,WV,No Law,No Law,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal
Wisconsin,WI,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Legal,Legal
Wyoming,WY,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal
